Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine
Honda Civic,"£13,650",2019,"26,020 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1
Renault Megane E Tech,"£24,140",2022,"5,843 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Mercedes-Benz GLC,"£22,577",2017,"62,371 miles",Semi-automatic,Diesel,5 seats,3 owner(s),5 doors,3
Toyota RAV4,"£24,990",2019,"31,458 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,2.5
Nissan Juke,"£22,895",2023,11 miles,Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Dacia Sandero Stepway,"£12,386",2022,"8,113 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Renault Captur,"£9,900",2020,"44,381 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Dacia Sandero Stepway,"£12,299",2021,"10,507 miles",Manual,Petrol,5 seats,89.8 bhp,5 doors,1
Hyundai IONIQ,"£16,399",2020,"7,711 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
SEAT Ibiza,"£13,000",2020,"21,737 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Honda Jazz,"£15,550",2020,"13,808 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1.3
Cupra Born,"£29,990",2023,"15,998 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Mercedes-Benz CLS,"£29,995",2019,"14,713 miles",Semi-automatic,Diesel,5 seats,2 owner(s),4 doors,2.9
Peugeot 2008,"£14,990",2021,"17,838 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
SEAT Leon,"£17,240",2020,"28,693 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota RAV4,"£26,940",2020,"34,741 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2.5
Hyundai Kona,"£18,628",2020,"19,624 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Hyundai i10,"£8,531",2016,"6,246 miles",Manual,Petrol,5 seats,3 owner(s),5 doors,1.2
Vauxhall Corsa,"£7,000",2018,"55,370 miles",Manual,Petrol,5 seats,2 owner(s),3 doors,1.4
Hyundai Tucson,"£34,999",2023,10 miles,Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Skoda Karoq,"£26,990",2023,"2,998 miles",Manual,Diesel,5 seats,1 owner(s),5 doors,2
Peugeot Rifter,"£22,001",2019,"20,849 miles",Manual,Diesel,7 seats,3 owner(s),5 doors,1.5
Vauxhall Corsa,"£11,449",2020,"11,346 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.2
Toyota C-HR,"£19,989",2021,"42,885 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Nissan Qashqai,"£19,415",2022,"11,411 miles",Manual,Hybrid,5 seats,1 owner(s),5 doors,1.3
Volkswagen T-Roc,"£22,995",2019,"39,229 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Dacia Duster,"£12,395",2020,"19,903 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.3
BMW 1 Series,"£14,015",2019,"45,911 miles",Semi-automatic,Petrol,5 seats,3 owner(s),5 doors,2
Renault Zoe,"£11,850",2021,"11,758 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
MINI Hatchback,"£16,250",2019,"29,100 miles",Semi-automatic,Petrol,4 seats,2 owner(s),3 doors,2
Hyundai Kona,"£18,788",2020,"15,151 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Nissan X-Trail,"£39,745",2023,943 miles,Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Volkswagen T-Roc,"£22,995",2019,"39,229 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Kia Sportage,"£16,900",2020,"26,138 miles",Manual,Hybrid,5 seats,1 owner(s),5 doors,1.6
